id,source,value,description
a,bim,300,opp groendak
b,bim,450,opp dak
c,?,éénsgezinswoning,type gebouw
d,?,1,aantal
e,bim,160,oppervlakte gebouw
f,?,onbekend,inhoud voorziene waterput
g,tekst,"",motivatie nuttig hergebruik overschot water
h,tekst,"",toepassingen gebruik water uit waterput
i,gis,300,opp perceel
j,gis,3,grondwinwatergebied
k,bim,120,nieuwe verharde oppervlakte
l,bim,0,bestaande verharde oppervlakte onaangesloten
m,bim,300,nieuwe dakoppervlakte
n,bim,0,bestaande dakoppervlakte onaangesloten
o,bim,500,voorziene volume voorziening
p,tekst,"",motivatie grotere inhoud van vereist
q,tekst,"",motivatie kleiner volume buffer/infiltratievolume dan vereist
r,tekst,300,voorziene infiltratieoppervlakte
s,tekst,"",motivatie kleinere oppervlakte infiltratie dan vereist
